"DFU","Period","Demand","Opening.Inventories","Supply.Plan","Min.Stocks.Coverage","Max.Stocks.Coverage"
"Item 000026",2022-08-14,979,0,0,4,8
"Item 000027",2022-08-14,599,0,0,4,8
"Item 000028",2022-08-14,2836,0,0,6,10
"Item 000029",2022-08-14,721,0,0,4,12
"Item 000030",2022-08-14,545,0,0,4,12
"Item 000031",2022-08-14,561,0,0,6,8
"Item 000032",2022-08-14,602,0,0,6,8
"Item 000033",2022-08-14,527,0,0,6,8
"Item 000034",2022-08-14,536,0,0,6,8
"Item 000035",2022-08-14,882,0,0,6,8
"Item 000036",2022-08-14,836,0,0,6,8
"Item 000037",2022-08-14,940,0,0,6,8
"Item 000038",2022-08-14,979,0,0,6,8
"Item 000039",2022-08-14,684,0,0,6,8
"Item 000040",2022-08-14,545,0,0,6,8
"Item 000041",2022-08-14,935,0,0,6,8
"Item 000042",2022-08-14,911,0,0,6,8
"Item 000043",2022-08-14,500,0,0,6,8
"Item 000044",2022-08-14,725,0,0,6,8
"Item 000045",2022-08-14,754,0,0,6,8
"Item 000046",2022-08-14,834,0,0,6,8
"Item 000047",2022-08-14,910,0,0,6,8
"Item 000048",2022-08-14,676,0,0,6,8
"Item 000049",2022-08-14,577,0,0,6,8
"Item 000050",2022-08-14,817,0,0,6,8
"Item 000001",2022-08-21,859,0,0,4,8
"Item 000002",2022-08-21,841,0,0,4,6
"Item 000003",2022-08-21,34,0,0,4,12
"Item 000004",2022-08-21,791,0,11713,6,6
"Item 000005",2022-08-21,69,0,0,4,12
"Item 000006",2022-08-21,1711,0,0,6,6
"Item 000007",2022-08-21,379,0,0,4,8
"Item 000008",2022-08-21,1585,0,0,6,10
"Item 000009",2022-08-21,100,0,0,4,12
"Item 000010",2022-08-21,197,0,0,4,12
"Item 000011",2022-08-21,424,0,0,4,8
"Item 000012",2022-08-21,166,0,0,4,12
"Item 000013",2022-08-21,1213,0,0,6,10
"Item 000014",2022-08-21,62,0,0,6,10
"Item 000015",2022-08-21,100,0,1330,6,12
"Item 000016",2022-08-21,2322,0,0,6,10
"Item 000017",2022-08-21,104,0,0,4,12
"Item 000018",2022-08-21,357,0,0,6,8
"Item 000019",2022-08-21,82,0,0,4,26
"Item 000020",2022-08-21,1040,0,0,6,10
"Item 000021",2022-08-21,298,0,0,4,12
"Item 000022",2022-08-21,161,0,0,6,12
"Item 000023",2022-08-21,165,0,200,6,26
"Item 000024",2022-08-21,117,0,0,6,26
"Item 000025",2022-08-21,107,0,0,4,12
"Item 000026",2022-08-21,979,0,0,4,8
"Item 000027",2022-08-21,599,0,0,4,8
"Item 000028",2022-08-21,2836,0,0,6,10
"Item 000029",2022-08-21,763,0,0,4,12
"Item 000030",2022-08-21,896,0,0,4,12
"Item 000031",2022-08-21,941,0,0,6,8
"Item 000032",2022-08-21,559,0,0,6,8
"Item 000033",2022-08-21,602,0,0,6,8
"Item 000034",2022-08-21,579,0,0,6,8
"Item 000035",2022-08-21,923,0,0,6,8
"Item 000036",2022-08-21,975,0,0,6,8
"Item 000037",2022-08-21,554,0,0,6,8
"Item 000038",2022-08-21,788,0,0,6,8
"Item 000039",2022-08-21,581,0,0,6,8
"Item 000040",2022-08-21,615,0,0,6,8
"Item 000041",2022-08-21,717,0,0,6,8
"Item 000042",2022-08-21,578,0,0,6,8
"Item 000043",2022-08-21,760,0,0,6,8
"Item 000044",2022-08-21,873,0,0,6,8
"Item 000045",2022-08-21,763,0,0,6,8
"Item 000046",2022-08-21,551,0,0,6,8
"Item 000047",2022-08-21,895,0,0,6,8
"Item 000048",2022-08-21,537,0,0,6,8
"Item 000049",2022-08-21,869,0,0,6,8
"Item 000050",2022-08-21,566,0,0,6,8
"Item 000001",2022-08-28,273,0,0,4,8
"Item 000002",2022-08-28,1160,0,4753,4,6
"Item 000003",2022-08-28,23,0,0,4,12
"Item 000004",2022-08-28,560,0,0,6,6
"Item 000005",2022-08-28,40,0,1187,4,12
"Item 000006",2022-08-28,943,0,9576,6,6
"Item 000007",2022-08-28,251,0,0,4,8
"Item 000008",2022-08-28,2023,0,1453,6,10
"Item 000009",2022-08-28,15,0,0,4,12
"Item 000010",2022-08-28,93,0,0,4,12
"Item 000011",2022-08-28,215,0,0,4,8
"Item 000012",2022-08-28,84,0,0,4,12
"Item 000013",2022-08-28,634,0,0,6,10
"Item 000014",2022-08-28,46,0,455,6,10
"Item 000015",2022-08-28,61,0,0,6,12
"Item 000016",2022-08-28,1144,0,0,6,10
"Item 000017",2022-08-28,38,0,0,4,12
"Item 000018",2022-08-28,256,0,0,6,8
"Item 000019",2022-08-28,9,0,0,4,26
"Item 000020",2022-08-28,784,0,0,6,10
"Item 000021",2022-08-28,181,0,0,4,12
"Item 000022",2022-08-28,36,0,660,6,12
"Item 000023",2022-08-28,88,0,1680,6,26
"Item 000024",2022-08-28,50,0,560,6,26
"Item 000025",2022-08-28,26,0,0,4,12
"Item 000026",2022-08-28,140,0,0,4,8
"Item 000027",2022-08-28,318,0,0,4,8
"Item 000028",2022-08-28,1972,0,0,6,10
"Item 000029",2022-08-28,542,0,0,4,12
"Item 000030",2022-08-28,836,0,0,4,12
"Item 000031",2022-08-28,511,0,0,6,8
"Item 000032",2022-08-28,965,0,0,6,8
"Item 000033",2022-08-28,666,0,0,6,8
"Item 000034",2022-08-28,587,0,0,6,8
"Item 000035",2022-08-28,848,0,0,6,8
"Item 000036",2022-08-28,697,0,0,6,8
"Item 000037",2022-08-28,636,0,0,6,8
"Item 000038",2022-08-28,583,0,0,6,8
"Item 000039",2022-08-28,783,0,0,6,8
"Item 000040",2022-08-28,864,0,0,6,8
"Item 000041",2022-08-28,822,0,0,6,8
"Item 000042",2022-08-28,779,0,0,6,8
"Item 000043",2022-08-28,855,0,0,6,8
"Item 000044",2022-08-28,944,0,0,6,8
"Item 000045",2022-08-28,559,0,0,6,8
"Item 000046",2022-08-28,880,0,0,6,8
"Item 000047",2022-08-28,913,0,0,6,8
"Item 000048",2022-08-28,858,0,0,6,8
"Item 000049",2022-08-28,722,0,0,6,8
"Item 000050",2022-08-28,550,0,0,6,8
"Item 000001",2022-09-04,349,0,0,4,8
"Item 000002",2022-09-04,2427,0,0,4,6
"Item 000003",2022-09-04,42,0,0,4,12
"Item 000004",2022-09-04,1042,0,0,6,6
"Item 000005",2022-09-04,69,0,0,4,12
"Item 000006",2022-09-04,1630,0,0,6,6
"Item 000007",2022-09-04,460,0,0,4,8
"Item 000008",2022-09-04,4191,0,2244,6,10
"Item 000009",2022-09-04,54,0,0,4,12
"Item 000010",2022-09-04,151,0,0,4,12
"Item 000011",2022-09-04,361,0,0,4,8
"Item 000012",2022-09-04,140,0,0,4,12
"Item 000013",2022-09-04,1074,0,0,6,10
"Item 000014",2022-09-04,86,0,0,6,10
"Item 000015",2022-09-04,141,0,0,6,12
"Item 000016",2022-09-04,1896,0,0,6,10
"Item 000017",2022-09-04,53,0,0,4,12
"Item 000018",2022-09-04,477,0,0,6,8
"Item 000019",2022-09-04,21,0,0,4,26
"Item 000020",2022-09-04,1483,0,1189,6,10
"Item 000021",2022-09-04,322,0,0,4,12
"Item 000022",2022-09-04,31,0,0,6,12
"Item 000023",2022-09-04,150,0,0,6,26
"Item 000024",2022-09-04,78,0,0,6,26
"Item 000025",2022-09-04,25,0,0,4,12
"Item 000026",2022-09-04,80,0,0,4,8
"Item 000027",2022-09-04,342,0,0,4,8
"Item 000028",2022-09-04,2710,0,0,6,10
"Item 000029",2022-09-04,571,0,0,4,12
"Item 000030",2022-09-04,907,0,0,4,12
"Item 000031",2022-09-04,990,0,0,6,8
"Item 000032",2022-09-04,598,0,0,6,8
"Item 000033",2022-09-04,993,0,0,6,8
"Item 000034",2022-09-04,777,0,0,6,8
"Item 000035",2022-09-04,993,0,0,6,8
"Item 000036",2022-09-04,798,0,0,6,8
"Item 000037",2022-09-04,953,0,0,6,8
"Item 000038",2022-09-04,1000,0,0,6,8
"Item 000039",2022-09-04,755,0,0,6,8
"Item 000040",2022-09-04,542,0,0,6,8
"Item 000041",2022-09-04,763,0,0,6,8
"Item 000042",2022-09-04,936,0,0,6,8
"Item 000043",2022-09-04,573,0,0,6,8
"Item 000044",2022-09-04,991,0,0,6,8
"Item 000045",2022-09-04,846,0,0,6,8
"Item 000046",2022-09-04,946,0,0,6,8
"Item 000047",2022-09-04,841,0,0,6,8
"Item 000048",2022-09-04,961,0,0,6,8
"Item 000049",2022-09-04,577,0,0,6,8
"Item 000050",2022-09-04,592,0,0,6,8
"Item 000001",2022-09-11,349,0,0,4,8
"Item 000002",2022-09-11,2427,0,0,4,6
"Item 000003",2022-09-11,42,0,0,4,12
"Item 000004",2022-09-11,1042,0,0,6,6
"Item 000005",2022-09-11,69,0,0,4,12
"Item 000006",2022-09-11,1630,0,0,6,6
"Item 000007",2022-09-11,460,0,0,4,8
"Item 000008",2022-09-11,4191,0,0,6,10
"Item 000009",2022-09-11,54,0,0,4,12
"Item 000010",2022-09-11,151,0,0,4,12
"Item 000011",2022-09-11,361,0,0,4,8
"Item 000012",2022-09-11,140,0,0,4,12
"Item 000013",2022-09-11,1074,0,0,6,10
"Item 000014",2022-09-11,86,0,0,6,10
"Item 000015",2022-09-11,141,0,0,6,12
"Item 000016",2022-09-11,1896,0,0,6,10
"Item 000017",2022-09-11,53,0,0,4,12
"Item 000018",2022-09-11,477,0,0,6,8
"Item 000019",2022-09-11,21,0,0,4,26
"Item 000020",2022-09-11,1483,0,0,6,10
"Item 000021",2022-09-11,322,0,0,4,12
"Item 000022",2022-09-11,31,0,0,6,12
"Item 000023",2022-09-11,150,0,0,6,26
"Item 000024",2022-09-11,78,0,0,6,26
"Item 000025",2022-09-11,25,0,0,4,12
"Item 000026",2022-09-11,66,0,0,4,8
"Item 000027",2022-09-11,342,0,0,4,8
"Item 000028",2022-09-11,2710,0,0,6,10
"Item 000029",2022-09-11,644,0,0,4,12
"Item 000030",2022-09-11,996,0,0,4,12
"Item 000031",2022-09-11,500,0,0,6,8
"Item 000032",2022-09-11,522,0,0,6,8
"Item 000033",2022-09-11,955,0,0,6,8
"Item 000034",2022-09-11,502,0,0,6,8
"Item 000035",2022-09-11,589,0,0,6,8
"Item 000036",2022-09-11,737,0,0,6,8
"Item 000037",2022-09-11,829,0,0,6,8
"Item 000038",2022-09-11,800,0,0,6,8
"Item 000039",2022-09-11,650,0,0,6,8
"Item 000040",2022-09-11,865,0,0,6,8
"Item 000041",2022-09-11,540,0,0,6,8
"Item 000042",2022-09-11,969,0,0,6,8
"Item 000043",2022-09-11,996,0,0,6,8
"Item 000044",2022-09-11,539,0,0,6,8
"Item 000045",2022-09-11,564,0,0,6,8
"Item 000046",2022-09-11,528,0,0,6,8
"Item 000047",2022-09-11,576,0,0,6,8
"Item 000048",2022-09-11,917,0,0,6,8
"Item 000049",2022-09-11,751,0,0,6,8
"Item 000050",2022-09-11,829,0,0,6,8
"Item 000001",2022-09-18,349,0,0,4,8
"Item 000002",2022-09-18,2427,0,0,4,6
"Item 000003",2022-09-18,42,0,0,4,12
"Item 000004",2022-09-18,1042,0,0,6,6
"Item 000005",2022-09-18,69,0,0,4,12
"Item 000006",2022-09-18,1630,0,0,6,6
"Item 000007",2022-09-18,460,0,0,4,8
"Item 000008",2022-09-18,4191,0,0,6,10
"Item 000009",2022-09-18,90,0,0,4,12
"Item 000010",2022-09-18,151,0,0,4,12
"Item 000011",2022-09-18,361,0,0,4,8
"Item 000012",2022-09-18,140,0,0,4,12
"Item 000013",2022-09-18,1074,0,0,6,10
"Item 000014",2022-09-18,86,0,0,6,10
"Item 000015",2022-09-18,141,0,0,6,12
"Item 000016",2022-09-18,1896,0,11814,6,10
"Item 000017",2022-09-18,53,0,0,4,12
"Item 000018",2022-09-18,477,0,0,6,8
"Item 000019",2022-09-18,21,0,0,4,26
"Item 000020",2022-09-18,1483,0,8711,6,10
"Item 000021",2022-09-18,322,0,0,4,12
"Item 000022",2022-09-18,31,0,60,6,12
